PredictedValue,PredictionConfidencePercentage,PredictionGroup,CREDIT_SCORE,AGE,BALANCE,HAS_ZERO_BALANCE,PRODUCTS_NUMBER,ACTIVE_MEMBER,GENDER,CUSTOMER_ID,AGE_SQ,AGE_GROUP,TENURE,TENURE_SQ,TENURE_GROUP,BALANCE_SALARY_RATIO,PRODUCT_SEGMENT,CREDIT_CARD,CREDIT_TIER,HEALTH_SCORE,AGE_TENURE_INTERACTION,ESTIMATED_SALARY,CHURN,Base_Revenue,FTP_Cost,Allocated_Cost,PD_Risk,Survival_Probability,Risk_Adjusted_Margin,Risk_Adjusted_CLV
1,0.705483873160517,ACTIVE_MEMBER <= 0.0;GENDER IN ['Female'];BALANCE > 75269.427 AND BALANCE <= 125449.04500000001,581,34,101633.04,0,1,0,Female,15696061,1156,2,1,1,1,0.9203,1,1,2,7.81,27.0,110431.51,0,4025.95,1051.25,150,0.1076,0.2945,2520.76,920.42
0,0.607070348621259,PRODUCTS_NUMBER > 1.0 AND PRODUCTS_NUMBER <= 2.0;TENURE <= 1.0,735,43,123180.01,0,2,1,Male,15641582,1849,2,10,100,3,0.6263,2,1,3,77.35,121.5,196673.28,0,5660.19,1377.36,225,0.046,0.6071,3871.17,4523.48
0,0.657629512881395,AGE > 32.8 AND AGE <= 40.2;ACTIVE_MEMBER > 0.0;CREDIT_SCORE <= 450.0,661,35,150725.53,0,2,1,Female,15638424,1225,2,5,25,3,1.3261,2,0,2,66.61,67.5,113656.85,0,6253.86,1726.31,225,0.0756,0.6576,3977.28,5461.07
1,0.705483873160517,ACTIVE_MEMBER <= 0.0;GENDER IN ['Female'];BALANCE > 75269.427 AND BALANCE <= 125449.04500000001,675,21,98373.26,0,1,0,Female,15755648,441,1,8,64,3,5.4042,1,1,3,22.75,90.5,18203.0,0,4353.09,888.94,150,0.07,0.2945,3082.16,1125.41
1,0.763288419028357,PRODUCTS_NUMBER > 2.0,738,58,133745.44,0,4,0,Male,15703793,3364,3,2,4,2,4.7137,3,1,3,11.38,49.0,28373.86,1,5624.4,1300.86,300,0.0448,0.2367,3843.29,1053.33
0,0.696060089624782,AGE <= 32.8,813,29,0.0,1,1,0,Male,15620344,841,1,6,36,3,0.0,1,1,4,20.13,74.5,33953.87,0,139.64,37.49,150,0.0148,0.6961,-47.14,-72.99
0,0.643161830120405,AGE > 32.8 AND AGE <= 40.2;ACTIVE_MEMBER > 0.0;CREDIT_SCORE <= 450.0,657,37,163607.18,0,1,1,Female,15812518,1369,2,0,0,1,3.7012,1,0,2,56.57,18.5,44203.55,0,7114.0,1657.31,175,0.0772,0.6432,4873.94,6392.91
0,0.652209458680853,AGE <= 32.8,604,25,157780.84,0,2,1,Female,15779052,625,1,5,25,3,2.7005,2,1,2,66.04,62.5,58426.81,0,6222.0,1293.26,225,0.0984,0.6522,4240.89,5724.26
0,0.70963501917164,AGE > 32.8 AND AGE <= 40.2;ACTIVE_MEMBER > 0.0;CREDIT_SCORE <= 450.0,519,36,0.0,1,2,1,Male,15770811,1296,2,9,81,3,0.0,2,0,1,73.19,108.0,145562.4,0,820.57,192.42,225,0.1324,0.7096,349.77,564.79
0,0.701605912538044,AGE <= 32.8,735,21,178718.19,0,2,0,Female,15780961,441,1,1,1,1,7.9828,2,1,3,9.35,20.5,22388.0,0,6805.0,1845.17,200,0.046,0.7016,4540.88,7152.72
0,0.68078667725163,ACTIVE_MEMBER > 0.0;HAS_ZERO_BALANCE > 0.0;CREDIT_SCORE > 450.0 AND CREDIT_SCORE <= 550.0,664,55,0.0,1,2,1,Male,15614049,3025,3,8,64,3,0.0,2,1,2,72.64,107.5,139161.64,0,651.51,138.25,225,0.0744,0.6808,266.81,393.95
0,0.694923443553409,AGE <= 32.8,678,32,0.0,1,1,1,Female,15662085,1024,2,9,81,3,0.0,1,1,3,74.78,106.0,148210.64,0,781.15,212.83,175,0.0688,0.6949,366.26,565.1
0,0.654617308369053,AGE > 32.8 AND AGE <= 40.2;ACTIVE_MEMBER > 0.0;CREDIT_SCORE <= 450.0,757,33,77253.22,0,1,1,Male,15575185,1089,2,5,25,3,0.3977,1,0,4,67.57,66.5,194239.63,0,4371.18,1213.2,175,0.0372,0.6546,2872.01,3906.17
1,0.82038443442417,BALANCE > 25089.809;ACTIVE_MEMBER <= 0.0;CREDIT_SCORE <= 450.0,416,41,122189.66,0,2,0,Female,15803136,1681,2,10,100,3,1.243,2,1,1,24.16,120.5,98301.61,0,5620.13,1481.07,200,0.1736,0.1796,3255.24,635.2
0,0.66538586896506,AGE <= 32.8,665,34,96645.54,0,2,0,Female,15706021,1156,2,1,1,1,0.5638,2,0,2,8.65,27.0,171413.66,0,3926.8,881.27,200,0.074,0.6654,2634.96,3707.37
0,0.72507246862844,AGE <= 32.8,777,32,0.0,1,1,0,Female,15663706,1024,2,2,4,2,0.0,1,1,4,11.77,36.0,136458.19,1,719.0,201.7,150,0.0292,0.7251,356.57,603.77
0,0.683029157525607,ACTIVE_MEMBER <= 0.0;HAS_ZERO_BALANCE > 0.0;CREDIT_SCORE > 450.0 AND CREDIT_SCORE <= 500.0,543,36,0.0,1,2,0,Female,15641732,1296,2,3,9,2,0.0,2,0,1,11.43,48.0,26019.59,0,116.64,25.83,200,0.1228,0.683,-95.78,-142.41
0,0.666194471915184,AGE > 32.8 AND AGE <= 40.2;ACTIVE_MEMBER > 0.0;CREDIT_SCORE <= 450.0,506,34,90307.62,0,1,1,Female,15701164,1156,2,4,16,2,0.5671,1,1,1,63.06,57.0,159235.29,0,4512.2,1311.16,175,0.1376,0.6662,2609.66,3681.11
1,0.698166362516091,AGE > 40.2;ACTIVE_MEMBER <= 0.0,493,46,0.0,1,2,0,Female,15738751,2116,2,4,16,2,0.0,2,1,1,12.93,63.0,1907.66,0,50.0,13.53,200,0.1428,0.3018,-140.18,-52.93
0,0.73473249225796,AGE > 69.80000000000001,652,75,0.0,1,2,1,Female,15805254,5625,3,10,100,3,0.0,2,1,2,76.52,137.5,114675.75,0,598.97,123.07,225,0.0792,0.7347,231.03,402.93
1,0.678130889006735,PRODUCTS_NUMBER <= 1.0;TENURE <= 0.0,750,22,121681.82,0,1,0,Male,15762418,484,1,3,9,2,0.9459,1,1,4,13.5,41.0,128643.35,1,5066.01,1418.12,150,0.04,0.3219,3357.97,1386.03
0,0.696218302797171,AGE <= 32.8,729,30,0.0,1,2,0,Male,15625759,900,2,9,81,3,0.0,2,1,3,25.29,105.0,151869.35,0,661.95,165.91,200,0.0484,0.6962,281.71,436.4
1,0.779933412768894,PRODUCTS_NUMBER > 2.0,646,46,0.0,1,3,0,Female,15622897,2116,2,4,16,2,0.0,3,1,2,14.46,63.0,93251.42,1,499.54,122.52,250,0.0816,0.2201,116.66,29.17
0,0.662519389104635,AGE <= 32.8,635,28,81623.67,0,2,1,Female,15767954,784,1,3,9,2,0.5206,2,1,2,62.35,44.0,156791.36,0,4146.74,1003.72,225,0.086,0.6625,2667.07,3718.89
0,0.663845625678577,ACTIVE_MEMBER > 0.0;HAS_ZERO_BALANCE > 0.0;CREDIT_SCORE > 450.0 AND CREDIT_SCORE <= 550.0,647,44,0.0,1,3,1,Female,15757535,1936,2,5,25,3,0.0,3,1,2,66.47,72.0,174205.22,1,817.55,213.11,275,0.0812,0.6638,302.69,423.83
1,0.706457971402889,AGE > 40.2;ACTIVE_MEMBER <= 0.0,808,45,118626.55,0,2,0,Male,15731511,2025,2,7,49,3,0.8063,2,1,4,22.08,92.5,147132.46,0,6276.08,1709.97,200,0.0168,0.2935,4292.76,1560.4
0,0.683029157525607,ACTIVE_MEMBER <= 0.0;HAS_ZERO_BALANCE > 0.0;CREDIT_SCORE > 450.0 AND CREDIT_SCORE <= 500.0,524,36,0.0,1,2,0,Female,15809248,1296,2,10,100,3,0.0,2,1,1,25.24,118.0,109614.57,0,523.92,151.73,200,0.1304,0.683,149.74,222.64
0,0.704214964971098,AGE <= 32.8,769,29,0.0,1,2,1,Male,15640635,841,1,8,64,3,0.0,2,1,4,73.69,94.5,172290.61,0,864.22,196.43,225,0.0324,0.7042,428.44,680.34
0,0.672077231484066,ACTIVE_MEMBER > 0.0;HAS_ZERO_BALANCE > 0.0;CREDIT_SCORE > 450.0 AND CREDIT_SCORE <= 550.0,730,42,0.0,1,2,1,Male,15676966,1764,2,4,16,2,0.0,2,0,3,65.3,61.0,85982.47,0,441.47,116.14,225,0.048,0.6721,95.51,137.24
0,0.673807507073574,AGE > 32.8 AND AGE <= 40.2;ACTIVE_MEMBER > 0.0;CREDIT_SCORE <= 450.0,515,35,176273.95,0,1,1,Male,15699461,1225,2,10,100,3,1.4535,1,0,1,75.15,117.5,121277.78,0,7182.85,1929.56,175,0.134,0.6738,4397.8,6353.26
0,0.581246304462825,ACTIVE_MEMBER > 0.0;GENDER IN ['Male'];CREDIT_CARD <= 0.0,773,41,102827.44,0,1,1,Male,15738721,1681,2,9,81,3,1.5919,1,0,4,75.73,110.5,64595.25,0,4645.07,1242.46,175,0.0308,0.5812,3128.2,3360.66
0,0.662519389104635,AGE <= 32.8,814,29,97086.4,0,2,1,Male,15693683,841,1,8,64,3,0.4921,2,1,4,74.14,94.5,197276.13,0,4610.05,1149.29,225,0.0144,0.6625,3189.17,4446.89
0,0.696218302797171,AGE <= 32.8,710,22,0.0,1,2,0,Male,15604348,484,1,8,64,3,0.0,2,0,3,23.1,91.0,99645.04,0,477.72,114.22,200,0.056,0.6962,154.34,239.1
1,0.785555555555556,BALANCE <= 25089.809;CREDIT_SCORE <= 450.0,413,34,0.0,1,2,0,Male,15633059,1156,2,9,81,3,0.0,2,0,1,22.13,107.0,6534.18,0,50.0,13.81,200,0.1748,0.2144,-135.18,-32.72
0,0.700945725998455,AGE > 32.8 AND AGE <= 40.2;ACTIVE_MEMBER > 0.0;CREDIT_SCORE <= 450.0,665,40,0.0,1,1,1,Female,15808582,1600,2,6,36,3,0.0,1,1,2,68.65,80.0,161848.03,0,725.03,166.76,175,0.074,0.7009,354.91,557.9
1,0.717799635019309,AGE > 40.2;ACTIVE_MEMBER <= 0.0,623,44,0.0,1,2,0,Female,15743192,1936,2,6,36,3,0.0,2,0,2,18.23,82.0,167162.43,0,634.15,140.02,200,0.0908,0.2822,267.42,92.18
0,0.657536675028816,AGE <= 32.8,738,31,82674.15,0,1,0,Male,15580146,961,2,9,81,3,1.9698,1,1,3,25.38,105.5,41970.72,0,4083.36,1039.55,150,0.0448,0.6575,2764.17,3794.27
0,0.662898739785261,ACTIVE_MEMBER <= 0.0;HAS_ZERO_BALANCE > 0.0;CREDIT_SCORE > 450.0 AND CREDIT_SCORE <= 500.0,528,36,0.0,1,2,0,Male,15776605,1296,2,7,49,3,0.0,2,1,1,19.28,88.0,60536.56,0,379.85,86.14,200,0.1288,0.6629,81.64,113.97
0,0.694935783106162,AGE > 62.400000000000006;ACTIVE_MEMBER > 0.0,670,65,0.0,1,1,1,Female,15804919,4225,3,1,1,1,0.0,1,1,3,58.7,42.5,177655.68,1,852.28,173.29,175,0.072,0.6949,467.7,721.65
0,0.607070348621259,PRODUCTS_NUMBER > 1.0 AND PRODUCTS_NUMBER <= 2.0;TENURE <= 1.0,622,46,107073.27,0,2,1,Female,15613854,2116,2,4,16,2,3.4557,2,1,2,64.22,63.0,30984.59,1,3578.31,734.12,225,0.0912,0.6071,2380.32,2781.42
0,0.648595025924006,AGE <= 32.8,582,32,88938.62,0,1,1,Male,15599195,1024,2,1,1,1,8.8456,1,1,2,57.82,26.0,10054.53,0,3495.8,942.12,175,0.1072,0.6486,2123.69,2833.92
0,0.654617308369053,AGE > 32.8 AND AGE <= 40.2;ACTIVE_MEMBER > 0.0;CREDIT_SCORE <= 450.0,785,36,99806.85,0,1,1,Female,15812878,1296,2,2,4,2,2.6992,1,0,4,61.85,38.0,36976.52,0,4057.6,1206.38,175,0.026,0.6546,2606.64,3545.24
1,0.678130889006735,PRODUCTS_NUMBER <= 1.0;TENURE <= 0.0,605,33,150092.8,0,1,0,Male,15602312,1089,2,5,25,3,2.0886,1,0,2,16.05,66.5,71862.79,0,6242.18,1532.26,150,0.098,0.3219,4113.05,1697.69
0,0.60140414025854,AGE <= 32.8,479,35,92833.89,0,1,0,Male,15744689,1225,2,9,81,3,0.9335,1,1,1,22.79,107.5,99449.86,1,3741.8,803.39,150,0.1484,0.6014,2374.61,2724.32
0,0.648595025924006,AGE <= 32.8,685,30,90536.81,0,1,1,Male,15803526,900,2,3,9,2,1.4352,1,0,3,62.85,45.0,63082.88,0,4165.05,1173.75,175,0.066,0.6486,2630.42,3510.13
0,0.644900147056171,AGE <= 32.8,538,39,108055.1,0,2,0,Male,15665790,1521,2,7,49,3,3.9681,2,1,1,19.38,89.5,27231.26,0,4692.2,1061.11,200,0.1248,0.6449,3002.89,3960.52
1,0.725767145055213,AGE > 40.2;ACTIVE_MEMBER <= 0.0,562,42,100238.35,0,1,0,Male,15715951,1764,2,2,4,2,1.1549,1,0,1,9.62,41.0,86797.41,0,3779.48,1132.19,150,0.1152,0.2742,2209.6,733.09
0,0.643161830120405,AGE > 32.8 AND AGE <= 40.2;ACTIVE_MEMBER > 0.0;CREDIT_SCORE <= 450.0,675,36,106190.55,0,1,1,Male,15591100,1296,2,9,81,3,4.6181,1,0,3,74.75,108.0,22994.32,0,4667.62,1196.43,175,0.07,0.6432,3065.46,4020.81
0,0.652209458680853,AGE <= 32.8,721,28,154475.54,0,2,1,Male,15609618,784,1,9,81,3,1.5249,2,0,3,75.21,104.0,101300.94,1,8057.85,1799.02,225,0.0516,0.6522,5722.48,7724.07
0,0.652209458680853,AGE <= 32.8,628,30,132351.29,0,2,1,Female,15675522,900,2,9,81,3,1.7845,2,1,2,74.28,105.0,74169.13,0,5762.31,1438.28,225,0.0888,0.6522,3735.04,5041.46
1,0.705483873160517,ACTIVE_MEMBER <= 0.0;GENDER IN ['Female'];BALANCE > 75269.427 AND BALANCE <= 125449.04500000001,668,37,167864.4,0,1,0,Female,15705512,1369,2,6,36,3,1.4516,1,1,2,18.68,78.5,115638.29,0,7046.76,1645.69,150,0.0728,0.2945,4868.79,1777.77
1,0.698166362516091,AGE > 40.2;ACTIVE_MEMBER <= 0.0,506,41,0.0,1,2,0,Female,15698028,1681,2,1,1,1,0.0,2,1,1,7.06,30.5,31766.3,0,156.58,43.52,200,0.1376,0.3018,-74.98,-28.31
1,0.705483873160517,ACTIVE_MEMBER <= 0.0;GENDER IN ['Female'];BALANCE > 75269.427 AND BALANCE <= 125449.04500000001,524,31,107818.63,0,1,0,Female,15661670,961,2,8,64,3,0.5398,1,1,1,21.24,95.5,199725.39,1,5638.16,1187.29,150,0.1304,0.2945,3740.04,1365.62
0,0.626787628674149,AGE <= 32.8,699,34,185173.81,0,2,0,Male,15600781,1156,2,4,16,2,1.5325,2,1,3,14.99,57.0,120834.48,0,6624.66,1892.67,200,0.0604,0.6268,4258.26,5301.43
0,0.644900147056171,AGE <= 32.8,828,34,129433.34,0,2,0,Male,15682472,1156,2,8,64,3,3.3944,2,0,4,24.28,97.0,38131.77,0,5456.24,1509.93,200,0.0088,0.6449,3713.34,4897.54
1,0.678130889006735,PRODUCTS_NUMBER <= 1.0;TENURE <= 0.0,674,39,120193.42,0,1,0,Male,15580203,1521,2,6,36,3,1.2004,1,0,3,18.74,79.5,100130.95,0,5101.12,1459.62,150,0.0704,0.3219,3245.7,1339.68
0,0.690832331016724,ACTIVE_MEMBER <= 0.0;HAS_ZERO_BALANCE > 0.0;CREDIT_SCORE > 450.0 AND CREDIT_SCORE <= 500.0,656,39,0.0,1,2,0,Female,15690673,1521,2,6,36,3,0.0,2,1,2,18.56,79.5,141069.88,0,835.69,241.93,200,0.0776,0.6908,363.2,553.32
0,0.576268836688111,ACTIVE_MEMBER > 0.0;GENDER IN ['Male'];CREDIT_CARD <= 0.0,684,48,126384.42,0,1,1,Female,15760085,2304,2,10,100,3,0.6379,1,1,3,76.84,124.0,198129.36,0,5940.72,1324.65,175,0.0664,0.5763,4146.18,4382.08
0,0.72507246862844,AGE <= 32.8,625,28,0.0,1,1,0,Female,15779659,784,1,3,9,2,0.0,1,0,2,12.25,44.0,183646.41,0,1071.38,270.1,150,0.09,0.7251,592.66,1003.53
1,0.798790615011084,BALANCE > 25089.809;ACTIVE_MEMBER <= 0.0;CREDIT_SCORE <= 450.0,432,42,152603.45,0,1,0,Male,15627360,1764,2,9,81,3,1.384,1,1,1,22.32,111.0,110265.24,1,5920.87,1687.4,150,0.1672,0.2012,3400.71,761.15
0,0.662944680505186,ACTIVE_MEMBER > 0.0;HAS_ZERO_BALANCE > 0.0;CREDIT_SCORE > 450.0 AND CREDIT_SCORE <= 550.0,549,52,0.0,1,1,1,Female,15671137,2704,3,1,1,1,0.0,1,0,1,57.49,36.0,8636.05,1,50.0,11.89,175,0.1204,0.6629,-120.41,-168.12
1,0.713007561447121,AGE > 40.2;ACTIVE_MEMBER <= 0.0,625,56,148507.24,0,1,0,Male,15782688,3136,3,0,0,1,3.1716,1,1,2,6.25,28.0,46824.08,1,6371.62,1312.81,150,0.09,0.287,4467.02,1574.96
1,0.717799635019309,AGE > 40.2;ACTIVE_MEMBER <= 0.0,828,41,0.0,1,2,0,Female,15575492,1681,2,7,49,3,0.0,2,1,4,22.28,90.5,171378.77,0,782.43,179.3,200,0.0088,0.2822,399.58,137.73
1,0.678130889006735,PRODUCTS_NUMBER <= 1.0;TENURE <= 0.0,770,24,101827.07,0,1,0,Male,15591607,576,1,9,81,3,0.6088,1,1,4,25.7,102.0,167256.35,0,4996.45,1120.16,150,0.032,0.3219,3607.05,1488.83
0,0.70963501917164,AGE > 32.8 AND AGE <= 40.2;ACTIVE_MEMBER > 0.0;CREDIT_SCORE <= 450.0,758,34,0.0,1,2,1,Female,15740404,1156,2,3,9,2,0.0,2,1,4,63.58,47.0,124226.16,0,696.44,199.88,225,0.0368,0.7096,261.57,422.36
0,0.643161830120405,AGE > 32.8 AND AGE <= 40.2;ACTIVE_MEMBER > 0.0;CREDIT_SCORE <= 450.0,795,33,130862.43,0,1,1,Female,15718369,1089,2,9,81,3,1.1386,1,1,4,75.95,106.5,114935.21,0,5621.08,1384.95,175,0.022,0.6432,3971.79,5209.59
1,0.717799635019309,AGE > 40.2;ACTIVE_MEMBER <= 0.0,709,43,0.0,1,2,0,Female,15730394,1849,2,8,64,3,0.0,2,0,3,23.09,101.5,168035.62,1,698.02,187.32,200,0.0564,0.2822,293.18,101.05
0,0.672077231484066,ACTIVE_MEMBER > 0.0;HAS_ZERO_BALANCE > 0.0;CREDIT_SCORE > 450.0 AND CREDIT_SCORE <= 550.0,671,42,0.0,1,2,1,Female,15631460,1764,2,3,9,2,0.0,2,1,3,62.71,51.0,128449.33,0,641.12,189.91,225,0.0716,0.6721,210.01,301.76
0,0.666194471915184,AGE > 32.8 AND AGE <= 40.2;ACTIVE_MEMBER > 0.0;CREDIT_SCORE <= 450.0,538,33,93791.38,0,1,1,Male,15692002,1089,2,6,36,3,0.4707,1,1,1,67.38,76.5,199249.29,0,4319.44,993.12,175,0.1248,0.6662,2758.04,3890.41
0,0.690832331016724,ACTIVE_MEMBER <= 0.0;HAS_ZERO_BALANCE > 0.0;CREDIT_SCORE > 450.0 AND CREDIT_SCORE <= 500.0,735,33,0.0,1,2,0,Female,15595282,1089,2,4,16,2,0.0,2,1,3,15.35,56.5,149474.69,0,721.79,199.3,200,0.046,0.6908,307.66,468.69
0,0.70963501917164,AGE > 32.8 AND AGE <= 40.2;ACTIVE_MEMBER > 0.0;CREDIT_SCORE <= 450.0,592,37,0.0,1,2,1,Female,15789548,1369,2,7,49,3,0.0,2,1,2,69.92,88.5,126726.33,0,628.46,127.12,225,0.1032,0.7096,247.82,400.17
0,0.576268836688111,ACTIVE_MEMBER > 0.0;GENDER IN ['Male'];CREDIT_CARD <= 0.0,747,61,155973.13,0,1,1,Male,15758035,3721,3,7,49,3,1.0571,1,0,4,71.47,100.5,147554.26,0,5786.71,1217.59,175,0.0412,0.5763,4213.08,4452.79
0,0.654617308369053,AGE > 32.8 AND AGE <= 40.2;ACTIVE_MEMBER > 0.0;CREDIT_SCORE <= 450.0,675,36,89409.95,0,1,1,Male,15617518,1296,2,7,49,3,0.5985,1,1,3,70.75,88.0,149399.7,0,3624.88,783.65,175,0.07,0.6546,2479.59,3372.45
0,0.66538586896506,AGE <= 32.8,632,39,97854.37,0,2,0,Female,15651802,1521,2,5,25,3,1.0462,2,1,2,16.32,69.5,93536.38,0,4593.09,1062.11,200,0.0872,0.6654,3040.52,4277.99
0,0.70963501917164,AGE > 32.8 AND AGE <= 40.2;ACTIVE_MEMBER > 0.0;CREDIT_SCORE <= 450.0,621,39,0.0,1,2,1,Male,15631813,1521,2,6,36,3,0.0,2,1,2,68.21,79.5,58883.91,0,279.03,67.05,225,0.0916,0.7096,-11.83,-19.1
0,0.657536675028816,AGE <= 32.8,521,29,60280.62,0,1,0,Male,15729668,841,1,3,9,2,0.3907,1,1,1,11.21,44.5,154271.41,0,2366.33,586.14,150,0.1316,0.6575,1415.66,1943.22
0,0.643161830120405,AGE > 32.8 AND AGE <= 40.2;ACTIVE_MEMBER > 0.0;CREDIT_SCORE <= 450.0,591,36,135216.8,0,1,1,Male,15741728,1296,2,7,49,3,1.1081,1,1,2,69.91,88.0,122022.89,0,6491.17,1457.48,175,0.1036,0.6432,4355.33,5712.67
0,0.652209458680853,AGE <= 32.8,706,28,124923.35,0,2,1,Female,15576676,784,1,6,36,3,2.4836,2,1,3,69.06,74.0,50299.14,0,5391.38,1113.98,225,0.0576,0.6522,3818.98,5154.77
0,0.672071607081848,ACTIVE_MEMBER <= 0.0;HAS_ZERO_BALANCE > 0.0;CREDIT_SCORE > 450.0 AND CREDIT_SCORE <= 500.0,677,38,0.0,1,2,0,Male,15711378,1444,2,4,16,2,0.0,2,1,3,14.77,59.0,187800.63,0,871.97,233.47,200,0.0692,0.6721,408.16,586.44
0,0.639679532171673,AGE <= 32.8,769,27,188614.07,0,1,0,Male,15765520,729,1,7,49,3,1.1008,1,1,4,21.69,83.5,171344.09,0,7294.98,1476.26,150,0.0324,0.6397,5485.05,7115.34
0,0.660132980323447,AGE <= 32.8,771,32,62321.62,0,1,1,Male,15656726,1024,2,5,25,3,1.523,1,1,4,67.71,66.0,40920.59,0,2922.92,821.19,175,0.0316,0.6601,1865.85,2582.22
1,0.727367698389599,ACTIVE_MEMBER <= 0.0;GENDER IN ['Female'];BALANCE > 75269.427 AND BALANCE <= 125449.04500000001,601,48,120782.7,0,1,0,Female,15647842,2304,2,8,64,3,1.889,1,1,2,22.01,104.0,63940.68,1,5330.96,1561.52,150,0.0996,0.2726,3258.94,1072.88
0,0.607070348621259,PRODUCTS_NUMBER > 1.0 AND PRODUCTS_NUMBER <= 2.0;TENURE <= 1.0,670,42,115961.58,0,2,1,Female,15719309,1764,2,1,1,1,3.9331,2,0,3,58.7,31.0,29483.87,0,5926.17,1606.21,225,0.072,0.6071,3800.12,4440.47
1,0.678130889006735,PRODUCTS_NUMBER <= 1.0;TENURE <= 0.0,517,28,115062.61,0,1,0,Male,15748718,784,1,2,4,2,0.6426,1,1,1,9.17,34.0,179056.23,0,5728.8,1487.17,150,0.1332,0.3219,3546.62,1463.89
1,0.725431490267224,ACTIVE_MEMBER <= 0.0;GENDER IN ['Female'];BALANCE > 75269.427 AND BALANCE <= 125449.04500000001,834,49,160602.25,0,2,0,Female,15594404,2401,2,8,64,3,1.2423,2,1,4,24.34,104.5,129273.94,0,7344.58,1951.47,200,0.0064,0.2746,5159.87,1714.7
1,0.772392481848053,PRODUCTS_NUMBER > 2.0,571,42,108825.34,0,3,0,Female,15751158,1764,2,4,16,2,1.9588,3,1,1,13.71,61.0,55558.51,1,4553.51,1207.69,250,0.1116,0.2276,2750.33,717.29
0,0.643161830120405,AGE > 32.8 AND AGE <= 40.2;ACTIVE_MEMBER > 0.0;CREDIT_SCORE <= 450.0,576,36,166287.85,0,1,1,Female,15593470,1296,2,8,64,3,7.135,1,1,1,71.76,98.0,23305.85,0,7320.84,2146.25,175,0.1096,0.6432,4451.63,5838.99
0,0.637139547675359,AGE <= 32.8,718,31,152663.77,0,1,1,Female,15695129,961,2,1,1,1,8.9128,1,0,3,59.18,25.5,17128.64,0,6579.26,1950.29,175,0.0528,0.6371,4218.8,5428.69
0,0.662519389104635,AGE <= 32.8,636,31,80844.69,0,2,1,Female,15640865,961,2,9,81,3,1.0831,2,1,2,74.36,105.5,74641.9,0,4058.49,984.88,225,0.0856,0.6625,2604.77,3632.02
0,0.66538586896506,AGE <= 32.8,566,40,97001.36,0,2,0,Female,15714080,1600,2,2,4,2,0.6279,2,1,1,9.66,40.0,154486.01,0,4409.94,1154.12,200,0.1136,0.6654,2708.68,3811.1
0,0.705258324731066,AGE > 62.400000000000006;ACTIVE_MEMBER > 0.0,711,64,0.0,1,2,1,Male,15648721,4096,3,4,16,2,0.0,2,1,3,65.11,72.0,3185.67,0,50.0,14.01,225,0.0556,0.7053,-178.5,-284.37
0,0.66538586896506,AGE <= 32.8,574,39,122524.61,0,2,0,Female,15801466,1521,2,2,4,2,1.385,2,1,1,9.74,39.5,88463.63,0,5087.3,1017.99,200,0.1104,0.6654,3442.14,4843.07
1,0.705483873160517,ACTIVE_MEMBER <= 0.0;GENDER IN ['Female'];BALANCE > 75269.427 AND BALANCE <= 125449.04500000001,619,35,132292.63,0,1,0,Female,15750248,1225,2,8,64,3,2.0141,1,1,2,22.19,97.5,65682.93,0,6064.56,1532.52,150,0.0924,0.2945,3977.14,1452.2
0,0.704214964971098,AGE <= 32.8,588,24,0.0,1,2,1,Female,15758726,576,1,0,0,1,0.0,2,1,2,55.88,12.0,140586.08,0,808.26,214.42,225,0.1048,0.7042,330.19,524.32
1,0.727367698389599,ACTIVE_MEMBER <= 0.0;GENDER IN ['Female'];BALANCE > 75269.427 AND BALANCE <= 125449.04500000001,760,49,91502.99,0,1,0,Female,15781553,2401,2,9,81,3,0.7805,1,1,4,25.6,114.5,117232.9,1,4051.45,1100.86,150,0.036,0.2726,2699.77,888.79
1,0.721949150029853,AGE > 40.2;ACTIVE_MEMBER <= 0.0,665,52,0.0,1,1,0,Male,15649121,2704,3,3,9,2,0.0,1,1,2,12.65,56.0,116137.01,1,556.02,131.71,150,0.074,0.2781,254.01,85.84
0,0.674322500035319,AGE <= 32.8,739,29,59385.98,0,2,1,Male,15674811,841,1,3,9,2,0.5627,2,1,3,63.39,44.5,105533.96,0,2994.29,687.38,225,0.0444,0.6743,1989.47,2878.72
0,0.744222603097316,AGE > 69.80000000000001,641,77,0.0,1,3,1,Male,15646037,5929,3,9,81,3,0.0,3,1,2,74.41,128.5,81514.06,0,397.55,86.75,275,0.0836,0.7442,32.81,58.9
0,0.648595025924006,AGE <= 32.8,685,21,97956.5,0,1,1,Female,15722578,441,1,6,36,3,0.5938,1,1,3,68.85,70.5,164966.27,0,5194.66,1328.7,175,0.066,0.6486,3447.36,4600.27
0,0.68078667725163,ACTIVE_MEMBER > 0.0;HAS_ZERO_BALANCE > 0.0;CREDIT_SCORE > 450.0 AND CREDIT_SCORE <= 550.0,594,49,0.0,1,2,1,Female,15665695,2401,2,4,16,2,0.0,2,1,2,63.94,64.5,23631.55,0,91.55,26.73,225,0.1024,0.6808,-143.78,-212.29
0,0.70963501917164,AGE > 32.8 AND AGE <= 40.2;ACTIVE_MEMBER > 0.0;CREDIT_SCORE <= 450.0,557,40,0.0,1,2,1,Female,15801062,1600,2,4,16,2,0.0,2,0,1,63.57,60.0,105433.53,0,483.59,140.05,225,0.1172,0.7096,104.65,168.98
